seed,member,horizon,loss_estimate,loss_lower,loss_upper,leakage_count,leakage_lower,leakage_upper,survival,hop_mae,asymmetry_mae,status
0,finite,1,0.22631334197453232,0.21959393874765432,0.23271107156406975,27280,0.823806524705279,0.8409912286143288,4.1611368063548496e-09,0.10426173291852886,0.06671820294355578,fail
0,finite,2,0.21886683071369856,0.21184541800110618,0.22560143751761785,26972,0.814223072983848,0.8317826858773028,3.623595150245405e-06,0.07219239737562408,0.048808460019455935,fail
0,finite,4,0.1879837413690329,0.1799953741583723,0.1958713668452414,25214,0.7596831329479385,0.7790617978461021,0.0004097716588514655,0.039896692483488545,0.029159485953963706,fail
0,finite,8,0.12731160330528674,0.11873100866313936,0.13609856377206808,22568,0.6780019447946177,0.6993025733392993,0.006672536963202618,0.016689540520894747,0.013772340041418437,fail
0,finite,16,0.06547536422876477,0.05791817719642693,0.07352815117335647,20131,0.6031125653950894,0.6255032302357859,0.02446721094598557,0.006155493940796516,0.008098679420165839,fail
0,finite,30,0.04710861619244052,0.04030419321876385,0.05449112303018183,19249,0.5760784201609875,0.5987238909291104,0.033803467673604634,0.0038469501530060566,0.00732274029794496,fail
0,equilibrium,1,0.2261380596162026,0.21941039541015978,0.23254483720856228,27287,0.8240244412318138,0.8412004028482529,4.188465658975847e-09,0.10425962518695137,0.0666970846025336,fail
0,equilibrium,2,0.21881135305650481,0.21178351792948757,0.22555428974840092,26963,0.813943177202738,0.8315134649092304,3.649673849614577e-06,0.07218538289218855,0.04888468348813973,fail
0,equilibrium,4,0.1871902101233525,0.1791874312259648,0.1950957129463457,25209,0.7595283593221629,0.7789115064927088,0.00041155044139752145,0.03988627104015913,0.029194655109868097,fail
0,equilibrium,8,0.12809747398332696,0.11949899684487282,0.13690317743684738,22602,0.6790489096283785,0.700330050943119,0.006607943115475882,0.01670047590150544,0.013715848375202472,fail
0,equilibrium,16,0.06600851732770777,0.0584309666805335,0.07408110832632119,20155,0.6038486865733854,0.6262314215423634,0.024310017187994578,0.006162054550122353,0.008036846821450309,fail
0,equilibrium,30,0.047205214683787654,0.040394238787638655,0.054595577679112245,19323,0.5783452358592798,0.6009720388351868,0.03376468578547903,0.00384416935939659,0.007306306173914255,fail
